Mes;Precio interno;;;;;;;;;;;;;;;
ene-85;17.000;;;;;;;;;;;;;;;
feb-85;17.000;;;;;;;;;;;;;;;
mar-85;18.100;;;;;;;;;;;;;;;
abr-85;18.100;;;;;;;;;;;;;;;
may-85;18.221;;;;;;;;;;;;;;;
jun-85;19.350;;;;;;;;;;;;;;;
jul-85;19.350;;;;;;;;;;;;;;;
ago-85;19.437;;;;;;;;;;;;;;;
sep-85;20.700;;;;;;;;;;;;;;;
oct-85;20.700;;;;;;;;;;;;;;;
nov-85;22.533;;;;;;;;;;;;;;;
dic-85;23.617;;;;;;;;;;;;;;;
ene-86;26.008;;;;;;;;;;;;;;;
feb-86;30.000;;;;;;;;;;;;;;;
mar-86;36.605;;;;;;;;;;;;;;;
abr-86;37.875;;;;;;;;;;;;;;;
may-86;39.185;;;;;;;;;;;;;;;
jun-86;39.500;;;;;;;;;;;;;;;
jul-86;39.500;;;;;;;;;;;;;;;
ago-86;39.500;;;;;;;;;;;;;;;
sep-86;39.500;;;;;;;;;;;;;;;
oct-86;39.952;;;;;;;;;;;;;;;
nov-86;41.250;;;;;;;;;;;;;;;
dic-86;41.250;;;;;;;;;;;;;;;
ene-87;41.250;;;;;;;;;;;;;;;
feb-87;41.250;;;;;;;;;;;;;;;
mar-87;41.250;;;;;;;;;;;;;;;
abr-87;41.250;;;;;;;;;;;;;;;
may-87;41.250;;;;;;;;;;;;;;;
jun-87;41.250;;;;;;;;;;;;;;;
jul-87;41.250;;;;;;;;;;;;;;;
ago-87;41.250;;;;;;;;;;;;;;;
sep-87;41.250;;;;;;;;;;;;;;;
oct-87;42.581;;;;;;;;;;;;;;;
nov-87;44.000;;;;;;;;;;;;;;;
dic-87;44.000;;;;;;;;;;;;;;;
ene-88;44.784;;;;;;;;;;;;;;;
feb-88;46.700;;;;;;;;;;;;;;;
mar-88;46.700;;;;;;;;;;;;;;;
abr-88;48.387;;;;;;;;;;;;;;;
may-88;49.000;;;;;;;;;;;;;;;
jun-88;49.000;;;;;;;;;;;;;;;
jul-88;49.000;;;;;;;;;;;;;;;
ago-88;49.000;;;;;;;;;;;;;;;
sep-88;49.000;;;;;;;;;;;;;;;
oct-88;51.129;;;;;;;;;;;;;;;
nov-88;55.000;;;;;;;;;;;;;;;
dic-88;55.000;;;;;;;;;;;;;;;
ene-89;55.000;;;;;;;;;;;;;;;
feb-89;55.000;;;;;;;;;;;;;;;
mar-89;55.658;;;;;;;;;;;;;;;
abr-89;61.800;;;;;;;;;;;;;;;
may-89;61.800;;;;;;;;;;;;;;;
jun-89;63.914;;;;;;;;;;;;;;;
jul-89;64.683;;;;;;;;;;;;;;;
ago-89;64.683;;;;;;;;;;;;;;;
sep-89;64.683;;;;;;;;;;;;;;;
oct-89;65.851;;;;;;;;;;;;;;;
nov-89;67.700;;;;;;;;;;;;;;;
dic-89;67.700;;;;;;;;;;;;;;;
ene-90;67.700;;;;;;;;;;;;;;;
feb-90;67.700;;;;;;;;;;;;;;;
mar-90;71.726;;;;;;;;;;;;;;;
abr-90;75.500;;;;;;;;;;;;;;;
may-90;75.500;;;;;;;;;;;;;;;
jun-90;75.500;;;;;;;;;;;;;;;
jul-90;75.500;;;;;;;;;;;;;;;
ago-90;75.500;;;;;;;;;;;;;;;
sep-90;84.050;;;;;;;;;;;;;;;
oct-90;85.000;;;;;;;;;;;;;;;
nov-90;85.000;;;;;;;;;;;;;;;
dic-90;85.000;;;;;;;;;;;;;;;
ene-91;85.000;;;;;;;;;;;;;;;
feb-91;85.000;;;;;;;;;;;;;;;
mar-91;88.024;;;;;;;;;;;;;;;
abr-91;94.375;;;;;;;;;;;;;;;
may-91;94.375;;;;;;;;;;;;;;;
jun-91;94.375;;;;;;;;;;;;;;;
jul-91;94.375;;;;;;;;;;;;;;;
ago-91;94.375;;;;;;;;;;;;;;;
sep-91;94.375;;;;;;;;;;;;;;;
oct-91;98.911;;;;;;;;;;;;;;;
nov-91;100.000;;;;;;;;;;;;;;;
dic-91;100.000;;;;;;;;;;;;;;;
ene-92;100.000;;;;;;;;;;;;;;;
feb-92;96.897;;;;;;;;;;;;;;;
mar-92;95.000;;;;;;;;;;;;;;;
abr-92;95.000;;;;;;;;;;;;;;;
may-92;95.000;;;;;;;;;;;;;;;
jun-92;95.000;;;;;;;;;;;;;;;
jul-92;89.839;;;;;;;;;;;;;;;
ago-92;85.000;;;;;;;;;;;;;;;
sep-92;85.000;;;;;;;;;;;;;;;
oct-92;85.000;;;;;;;;;;;;;;;
nov-92;85.000;;;;;;;;;;;;;;;
dic-92;85.000;;;;;;;;;;;;;;;
ene-93;85.000;;;;;;;;;;;;;;;
feb-93;85.000;;;;;;;;;;;;;;;
mar-93;85.000;;;;;;;;;;;;;;;
abr-93;90.729;;;;;;;;;;;;;;;
may-93;91.875;;;;;;;;;;;;;;;
jun-93;91.875;;;;;;;;;;;;;;;
jul-93;91.875;;;;;;;;;;;;;;;
ago-93;93.992;;;;;;;;;;;;;;;
sep-93;105.000;;;;;;;;;;;;;;;
oct-93;105.000;;;;;;;;;;;;;;;
nov-93;105.000;;;;;;;;;;;;;;;
dic-93;105.000;;;;;;;;;;;;;;;
ene-94;105.000;;;;;;;;;;;;;;;
feb-94;118.393;;;;;;;;;;;;;;;
mar-94;120.000;;;;;;;;;;;;;;;
abr-94;120.000;;;;;;;;;;;;;;;
may-94;127.742;;;;;;;;;;;;;;;
jun-94;142.367;;;;;;;;;;;;;;;
jul-94;170.129;;;;;;;;;;;;;;;
ago-94;180.000;;;;;;;;;;;;;;;
sep-94;200.688;;;;;;;;;;;;;;;
oct-94;207.460;;;;;;;;;;;;;;;
nov-94;204.563;;;;;;;;;;;;;;;
dic-94;197.782;;;;;;;;;;;;;;;
ene-95;197.129;;;;;;;;;;;;;;;
feb-95;194.656;;;;;;;;;;;;;;;
mar-95;195.488;;;;;;;;;;;;;;;
abr-95;196.408;;;;;;;;;;;;;;;
may-95;203.516;;;;;;;;;;;;;;;
jun-95;205.813;;;;;;;;;;;;;;;
jul-95;202.589;;;;;;;;;;;;;;;
ago-95;201.500;;;;;;;;;;;;;;;
sep-95;201.500;;;;;;;;;;;;;;;
oct-95;201.500;;;;;;;;;;;;;;;
nov-95;201.500;;;;;;;;;;;;;;;
dic-95;201.500;;;;;;;;;;;;;;;
ene-96;193.339;;;;;;;;;;;;;;;
feb-96;190.000;;;;;;;;;;;;;;;
mar-96;190.000;;;;;;;;;;;;;;;
abr-96;195.750;;;;;;;;;;;;;;;
may-96;201.500;;;;;;;;;;;;;;;
jun-96;201.500;;;;;;;;;;;;;;;
jul-96;201.500;;;;;;;;;;;;;;;
ago-96;213.565;;;;;;;;;;;;;;;
sep-96;235.500;;;;;;;;;;;;;;;
oct-96;235.500;;;;;;;;;;;;;;;
nov-96;235.500;;;;;;;;;;;;;;;
dic-96;225.113;;;;;;;;;;;;;;;
ene-97;221.500;;;;;;;;;;;;;;;
feb-97;269.638;;;;;;;;;;;;;;;
mar-97;358.867;;;;;;;;;;;;;;;
abr-97;346.692;;;;;;;;;;;;;;;
may-97;401.282;;;;;;;;;;;;;;;
jun-97;410.879;;;;;;;;;;;;;;;
jul-97;333.331;;;;;;;;;;;;;;;
ago-97;328.113;;;;;;;;;;;;;;;
sep-97;329.946;;;;;;;;;;;;;;;
oct-97;326.016;;;;;;;;;;;;;;;
nov-97;311.050;;;;;;;;;;;;;;;
dic-97;334.839;;;;;;;;;;;;;;;
ene-98;347.661;;;;;;;;;;;;;;;
feb-98;369.527;;;;;;;;;;;;;;;
mar-98;326.843;;;;;;;;;;;;;;;
abr-98;334.200;;;;;;;;;;;;;;;
may-98;304.161;;;;;;;;;;;;;;;
jun-98;300.192;;;;;;;;;;;;;;;
jul-98;300.000;;;;;;;;;;;;;;;
ago-98;300.278;;;;;;;;;;;;;;;
sep-98;300.000;;;;;;;;;;;;;;;
oct-98;307.258;;;;;;;;;;;;;;;
nov-98;320.675;;;;;;;;;;;;;;;
dic-98;314.948;;;;;;;;;;;;;;;
ene-99;323.524;;;;;;;;;;;;;;;
feb-99;312.500;;;;;;;;;;;;;;;
mar-99;312.500;;;;;;;;;;;;;;;
abr-99;312.500;;;;;;;;;;;;;;;
may-99;318.315;;;;;;;;;;;;;;;
jun-99;330.000;;;;;;;;;;;;;;;
jul-99;330.000;;;;;;;;;;;;;;;
ago-99;330.000;;;;;;;;;;;;;;;
sep-99;330.000;;;;;;;;;;;;;;;
oct-99;330.000;;;;;;;;;;;;;;;
nov-99;362.638;;;;;;;;;;;;;;;
dic-99;402.617;;;;;;;;;;;;;;;
ene-00;371.375;;;;;;;;;;;;;;;
feb-00;354.297;;;;;;;;;;;;;;;
mar-00;360.016;;;;;;;;;;;;;;;
abr-00;347.538;;;;;;;;;;;;;;;
may-00;353.750;;;;;;;;;;;;;;;
jun-00;341.688;;;;;;;;;;;;;;;
jul-00;345.190;;;;;;;;;;;;;;;
ago-00;330.113;;;;;;;;;;;;;;;
sep-00;330.000;;;;;;;;;;;;;;;
oct-00;330.000;;;;;;;;;;;;;;;
nov-00;330.000;;;;;;;;;;;;;;;
dic-00;330.000;;;;;;;;;;;;;;;
ene-01;321.671;;;;;;;;;;;;;;;
feb-01;291.527;;;;;;;;;;;;;;;
mar-01;297.145;;;;;;;;;;;;;;;
abr-01;313.350;;;;;;;;;;;;;;;
may-01;339.956;;;;;;;;;;;;;;;
jun-01;294.696;;;;;;;;;;;;;;;
jul-01;280.161;;;;;;;;;;;;;;;
ago-01;283.710;;;;;;;;;;;;;;;
sep-01;287.563;;;;;;;;;;;;;;;
oct-01;260.782;;;;;;;;;;;;;;;
nov-01;274.963;;;;;;;;;;;;;;;
dic-01;269.964;;;;;;;;;;;;;;;
ene-02;276.480;;;;;;;;;;;;;;;
feb-02;270.960;;;;;;;;;;;;;;;
mar-02;296.859;;;;;;;;;;;;;;;
abr-02;307.892;;;;;;;;;;;;;;;
may-02;284.464;;;;;;;;;;;;;;;
jun-02;277.875;;;;;;;;;;;;;;;
jul-02;264.823;;;;;;;;;;;;;;;
ago-02;260.185;;;;;;;;;;;;;;;
sep-02;302.300;;;;;;;;;;;;;;;
oct-02;311.722;;;;;;;;;;;;;;;
nov-02;322.517;;;;;;;;;;;;;;;
dic-02;285.694;;;;;;;;;;;;;;;
ene-03;323.838;;;;;;;;;;;;;;;
feb-03;320.897;;;;;;;;;;;;;;;
mar-03;299.593;;;;;;;;;;;;;;;
abr-03;312.583;;;;;;;;;;;;;;;
may-03;314.218;;;;;;;;;;;;;;;
jun-03;290.500;;;;;;;;;;;;;;;
jul-03;319.355;;;;;;;;;;;;;;;
ago-03;300.726;;;;;;;;;;;;;;;
sep-03;308.633;;;;;;;;;;;;;;;
oct-03;296.230;;;;;;;;;;;;;;;
nov-03;298.533;;;;;;;;;;;;;;;
dic-03;304.540;;;;;;;;;;;;;;;
ene-04;334.391;;;;;;;;;;;;;;;
feb-04;334.858;;;;;;;;;;;;;;;
mar-04;342.669;;;;;;;;;;;;;;;
abr-04;327.254;;;;;;;;;;;;;;;
may-04;346.230;;;;;;;;;;;;;;;
jun-04;379.408;;;;;;;;;;;;;;;
jul-04;320.315;;;;;;;;;;;;;;;
ago-04;317.887;;;;;;;;;;;;;;;
sep-04;351.521;;;;;;;;;;;;;;;
oct-04;351.024;;;;;;;;;;;;;;;
nov-04;388.121;;;;;;;;;;;;;;;
dic-04;422.786;;;;;;;;;;;;;;;
ene-05;417.661;;;;;;;;;;;;;;;
feb-05;484.335;;;;;;;;;;;;;;;
mar-05;558.593;;;;;;;;;;;;;;;
abr-05;518.929;;;;;;;;;;;;;;;
may-05;503.161;;;;;;;;;;;;;;;
jun-05;464.250;;;;;;;;;;;;;;;
jul-05;414.730;;;;;;;;;;;;;;;
ago-05;410.843;;;;;;;;;;;;;;;
sep-05;383.388;;;;;;;;;;;;;;;
oct-05;430.415;;;;;;;;;;;;;;;
nov-05;450.658;;;;;;;;;;;;;;;
dic-05;447.875;;;;;;;;;;;;;;;
ene-06;525.206;;;;;;;;;;;;;;;
feb-06;476.201;;;;;;;;;;;;;;;
mar-06;445.254;;;;;;;;;;;;;;;
abr-06;467.946;;;;;;;;;;;;;;;
may-06;457.887;;;;;;;;;;;;;;;
jun-06;449.379;;;;;;;;;;;;;;;
jul-06;451.754;;;;;;;;;;;;;;;
ago-06;461.024;;;;;;;;;;;;;;;
sep-06;441.821;;;;;;;;;;;;;;;
oct-06;429.121;;;;;;;;;;;;;;;
nov-06;475.658;;;;;;;;;;;;;;;
dic-06;509.867;;;;;;;;;;;;;;;
ene-07;477.403;;;;;;;;;;;;;;;
feb-07;471.286;;;;;;;;;;;;;;;
mar-07;440.387;;;;;;;;;;;;;;;
abr-07;424.708;;;;;;;;;;;;;;;
may-07;407.157;;;;;;;;;;;;;;;
jun-07;425.563;;;;;;;;;;;;;;;
jul-07;417.871;;;;;;;;;;;;;;;
ago-07;449.964;;;;;;;;;;;;;;;
sep-07;483.642;;;;;;;;;;;;;;;
oct-07;496.407;;;;;;;;;;;;;;;
nov-07;489.550;;;;;;;;;;;;;;;
dic-07;505.613;;;;;;;;;;;;;;;
ene-08;501.520;;;;;;;;;;;;;;;
feb-08;544.293;;;;;;;;;;;;;;;
mar-08;494.048;;;;;;;;;;;;;;;
abr-08;439.908;;;;;;;;;;;;;;;
may-08;435.077;;;;;;;;;;;;;;;
jun-08;455.125;;;;;;;;;;;;;;;
jul-08;463.806;;;;;;;;;;;;;;;
ago-08;499.935;;;;;;;;;;;;;;;
sep-08;542.379;;;;;;;;;;;;;;;
oct-08;515.869;;;;;;;;;;;;;;;
nov-08;523.921;;;;;;;;;;;;;;;
dic-08;509.230;;;;;;;;;;;;;;;
ene-09;570.742;;;;;;;;;;;;;;;
feb-09;638.629;;;;;;;;;;;;;;;
mar-09;660.395;;;;;;;;;;;;;;;
abr-09;765.396;;;;;;;;;;;;;;;
may-09;835.198;;;;;;;;;;;;;;;
jun-09;666.450;;;;;;;;;;;;;;;
jul-09;642.282;;;;;;;;;;;;;;;
ago-09;672.516;;;;;;;;;;;;;;;
sep-09;613.788;;;;;;;;;;;;;;;
oct-09;565.702;;;;;;;;;;;;;;;
nov-09;591.575;;;;;;;;;;;;;;;
dic-09;673.117;;;;;;;;;;;;;;;
ene-10;716.730;;;;;;;;;;;;;;;
feb-10;678.531;;;;;;;;;;;;;;;
mar-10;688.281;;;;;;;;;;;;;;;
abr-10;660.179;;;;;;;;;;;;;;;
may-10;676.952;;;;;;;;;;;;;;;
jun-10;750.263;;;;;;;;;;;;;;;
jul-10;810.629;;;;;;;;;;;;;;;
ago-10;834.798;;;;;;;;;;;;;;;
sep-10;801.608;;;;;;;;;;;;;;;
oct-10;751.222;;;;;;;;;;;;;;;
nov-10;790.296;;;;;;;;;;;;;;;
dic-10;896.589;;;;;;;;;;;;;;;
ene-11;948.323;;;;;;;;;;;;;;;
feb-11;1.024.314;;;;;;;;;;;;;;;
mar-11;1.079.008;;;;;;;;;;;;;;;
abr-11;1.070.912;;;;;;;;;;;;;;;
may-11;1.021.803;;;;;;;;;;;;;;;
jun-11;965.117;;;;;;;;;;;;;;;
jul-11;931.452;;;;;;;;;;;;;;;
ago-11;963.077;;;;;;;;;;;;;;;
sep-11;975.683;;;;;;;;;;;;;;;
oct-11;909.089;;;;;;;;;;;;;;;
nov-11;925.595;;;;;;;;;;;;;;;
dic-11;897.911;;;;;;;;;;;;;;;
ene-12;874.863;;;;;;;;;;;;;;;
feb-12;826.220;;;;;;;;;;;;;;;
mar-12;727.565;;;;;;;;;;;;;;;
abr-12;703.033;;;;;;;;;;;;;;;
may-12;670.335;;;;;;;;;;;;;;;
jun-12;592.504;;;;;;;;;;;;;;;
jul-12;648.097;;;;;;;;;;;;;;;
ago-12;611.621;;;;;;;;;;;;;;;
sep-12;623.425;;;;;;;;;;;;;;;
oct-12;589.464;;;;;;;;;;;;;;;
nov-12;538.683;;;;;;;;;;;;;;;
dic-12;521.262;;;;;;;;;;;;;;;
ene-13;527.980;;;;;;;;;;;;;;;
feb-13;504.406;;;;;;;;;;;;;;;
mar-13;512.520;;;;;;;;;;;;;;;
abr-13;515.554;;;;;;;;;;;;;;;
may-13;511.000;;;;;;;;;;;;;;;
jun-13;476.450;;;;;;;;;;;;;;;
jul-13;467.210;;;;;;;;;;;;;;;
ago-13;452.133;;;;;;;;;;;;;;;
sep-13;435.563;;;;;;;;;;;;;;;
oct-13;407.206;;;;;;;;;;;;;;;
nov-13;384.813;;;;;;;;;;;;;;;
dic-13;401.649;;;;;;;;;;;;;;;
ene-14;429.661;;;;;;;;;;;;;;;
feb-14;602.313;;;;;;;;;;;;;;;
mar-14;758.746;;;;;;;;;;;;;;;
abr-14;796.838;;;;;;;;;;;;;;;
may-14;743.899;;;;;;;;;;;;;;;
jun-14;664.917;;;;;;;;;;;;;;;
jul-14;644.649;;;;;;;;;;;;;;;
ago-14;715.621;;;;;;;;;;;;;;;
sep-14;715.708;;;;;;;;;;;;;;;
oct-14;805.931;;;;;;;;;;;;;;;
nov-14;771.579;;;;;;;;;;;;;;;
dic-14;781.746;;;;;;;;;;;;;;;
ene-15;768.548;;;;;;;;;;;;;;;
feb-15;724.982;;;;;;;;;;;;;;;
mar-15;684.923;;;;;;;;;;;;;;;
abr-15;687.371;;;;;;;;;;;;;;;
may-15;631.319;;;;;;;;;;;;;;;
jun-15;671.900;;;;;;;;;;;;;;;
jul-15;678.778;;;;;;;;;;;;;;;
ago-15;772.657;;;;;;;;;;;;;;;
sep-15;718.671;;;;;;;;;;;;;;;
oct-15;733.637;;;;;;;;;;;;;;;
nov-15;735.033;;;;;;;;;;;;;;;
dic-15;789.258;;;;;;;;;;;;;;;
ene-16;787.528;;;;;;;;;;;;;;;
feb-16;791.776;;;;;;;;;;;;;;;
mar-16;799.129;;;;;;;;;;;;;;;
abr-16;756.367;;;;;;;;;;;;;;;
may-16;755.323;;;;;;;;;;;;;;;
jun-16;794.433;;;;;;;;;;;;;;;
jul-16;835.516;;;;;;;;;;;;;;;
ago-16;794.032;;;;;;;;;;;;;;;
sep-16;860.867;;;;;;;;;;;;;;;
oct-16;914.613;;;;;;;;;;;;;;;
nov-16;1.007.533;;;;;;;;;;;;;;;
dic-16;860.806;;;;;;;;;;;;;;;
ene-17;883.226;;;;;;;;;;;;;;;
feb-17;859.286;;;;;;;;;;;;;;;
mar-17;850.065;;;;;;;;;;;;;;;
abr-17;804.900;;;;;;;;;;;;;;;
may-17;802.516;;;;;;;;;;;;;;;
jun-17;783.400;;;;;;;;;;;;;;;
jul-17;849.323;;;;;;;;;;;;;;;
ago-17;851.903;;;;;;;;;;;;;;;
sep-17;813.763;;;;;;;;;;;;;;;
oct-17;776.919;;;;;;;;;;;;;;;
nov-17;784.504;;;;;;;;;;;;;;;
dic-17;757.968;;;;;;;;;;;;;;;
ene-18;763.903;;;;;;;;;;;;;;;
feb-18;745.031;;;;;;;;;;;;;;;
mar-18;729.855;;;;;;;;;;;;;;;
abr-18;715.325;;;;;;;;;;;;;;;
may-18;754.210;;;;;;;;;;;;;;;
jun-18;746.400;;;;;;;;;;;;;;;
jul-18;717.839;;;;;;;;;;;;;;;
ago-18;705.065;;;;;;;;;;;;;;;
sep-18;686.933;;;;;;;;;;;;;;;
oct-18;796.774;;;;;;;;;;;;;;;
nov-18;804.283;;;;;;;;;;;;;;;
dic-18;727.645;;;;;;;;;;;;;;;
ene-19;727.274;;;;;;;;;;;;;;;
feb-19;708.089;;;;;;;;;;;;;;;
mar-19;690.581;;;;;;;;;;;;;;;
abr-19;680.567;;;;;;;;;;;;;;;
may-19;724.065;;;;;;;;;;;;;;;
jun-19;779.917;;;;;;;;;;;;;;;
jul-19;796.484;;;;;;;;;;;;;;;
ago-19;798.935;;;;;;;;;;;;;;;
sep-19;815.450;;;;;;;;;;;;;;;
oct-19;819.581;;;;;;;;;;;;;;;
nov-19;909.600;;;;;;;;;;;;;;;
dic-19;999.129;;;;;;;;;;;;;;;
ene-20;886.161;;;;;;;;;;;;;;;
feb-20;909.103;;;;;;;;;;;;;;;
mar-20;1.143.194;;;;;;;;;;;;;;;
abr-20;1.175.567;;;;;;;;;;;;;;;
may-20;1.068.871;;;;;;;;;;;;;;;
jun-20;962.800;;;;;;;;;;;;;;;
jul-20;1.001.452;;;;;;;;;;;;;;;
ago-20;1.143.968;;;;;;;;;;;;;;;
sep-20;1.142.233;;;;;;;;;;;;;;;
oct-20;1.052.484;;;;;;;;;;;;;;;
nov-20;1.044.700;;;;;;;;;;;;;;;
dic-20;1.047.677;;;;;;;;;;;;;;;
ene-21;1.073.194;;;;;;;;;;;;;;;
feb-21;1.113.536;;;;;;;;;;;;;;;
mar-21;1.156.032;;;;;;;;;;;;;;;
abr-21;1.207.433;;;;;;;;;;;;;;;
may-21;1.385.935;;;;;;;;;;;;;;;
jun-21;1.420.800;;;;;;;;;;;;;;;
jul-21;1.562.742;;;;;;;;;;;;;;;
ago-21;1.704.806;;;;;;;;;;;;;;;
sep-21;1.712.138;;;;;;;;;;;;;;;
oct-21;1.784.935;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
